Run Date,Action,Symbol,Description,Quantity,Price ($),Amount ($),Settlement Date
9/30/25,DIVIDEND RECEIVED ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF (HOOW) (Cash),HOOW,ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF,0,,31.59,
9/29/25,DIVIDEND RECEIVED SCHWAB US DIVIDEND EQUITY ETF (SCHD) (Cash),SCHD,SCHWAB US DIVIDEND EQUITY ETF,0,,15.62,
9/26/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,145.84,
9/26/25,DIVIDEND RECEIVED TIDAL TR II YIELDMAX MSTR OP (MSTY) (Cash),MSTY,TIDAL TR II YIELDMAX MSTR OP,0,,67.59,
9/26/25,DIVIDEND RECEIVED NEOS ETF TRUST NASDAQ 100 HIGH (QQQI) (Cash),QQQI,NEOS ETF TRUST NASDAQ 100 HIGH,0,,202.13,
9/26/25,DIVIDEND RECEIVED NEOS ETF TRUST BITCOIN HIGH INCOME ETF (BTCI) (Cash),BTCI,NEOS ETF TRUST BITCOIN HIGH INCOME ETF,0,,103.5,
9/23/25,DIVIDEND RECEIVED ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF (HOOW) (Cash),HOOW,ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF,0,,14.84,
9/19/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX HOOD OP (HOOY) (Cash),HOOY,TIDAL TRUST II YIELDMAX HOOD OP,0,,104.33,
9/19/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,146.63,
9/16/25,DIVIDEND RECEIVED ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF (HOOW) (Cash),HOOW,ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF,0,,22.46,
9/15/25,YOU BOUGHT TIDAL TR II YIELDMAX MSTR OP (MSTY) (Cash),MSTY,TIDAL TR II YIELDMAX MSTR OP,19,15.32,-291.08,9/16/25
9/12/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,146.95,
9/9/25,DIVIDEND RECEIVED ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF (HOOW) (Cash),HOOW,ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF,0,,10.63,
9/8/25,REINVESTMENT PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,11.829,19.17,-226.74,
9/8/25,DIVIDEND RECEIVED PROSHARES BITCOIN ETF (BITO) (Cash),BITO,PROSHARES BITCOIN ETF,0,,226.74,
9/5/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,134.06,
9/4/25,YOU BOUGHT TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,93,5.48,-509.63,9/5/25
9/4/25,YOU BOUGHT TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0.894,5.47,-4.89,9/5/25
9/3/25,DIVIDEND RECEIVED ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF (HOOW) (Cash),HOOW,ROUNDHILL ETF TRUST HOOD WEEKLYPAY ETF,0,,11.91,
8/29/25,DIVIDEND RECEIVED TIDAL TRUST II YIELDMAX ULTRA OPTION... (ULTY) (Cash),ULTY,TIDAL TRUST II YIELDMAX ULTRA OPTION IN,0,,141.36,
